CVE_INEGI,CVE_ENT,CVE_MUN,NOM_ENT,NOM_MUN,Tarifa,Consumo 2010,Consumo 2011,Consumo 2012,Consumo 2013,Consumo 2014,Consumo 2015,Consumo 2016,Usuarios 2010,Usuarios 2011,Usuarios 2012,Usuarios 2013,Usuarios 2014,Usuarios 2015,Usuarios 2016
20328.0,20,328,Oaxaca                                            ,San Pedro Taviche                                 ,DAC,0.0,0.0,0.0,0.0,0.0,1672.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20329.0,20,329,Oaxaca                                            ,San Pedro Teozacoalco                             ,1,149597.0,146071.0,129758.0,147112.0,145431.0,145030.0,160374.0,259.0,270.0,285.0,285.0,300.0,315.0,467.0
20329.0,20,329,Oaxaca                                            ,San Pedro Teozacoalco                             ,DAC,0.0,801.0,0.0,0.0,52.0,1289.0,798.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20330.0,20,330,Oaxaca                                            ,San Pedro Teutila                                 ,1,561345.0,609711.0,579364.0,636303.0,664251.0,645585.0,594266.0,777.0,810.0,822.0,839.0,878.0,888.0,902.0
20330.0,20,330,Oaxaca                                            ,San Pedro Teutila                                 ,DAC,2505.0,914.0,0.0,0.0,0.0,2055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20331.0,20,331,Oaxaca                                            ,San Pedro Tidaa                                   ,1,176404.0,180566.0,172650.0,181072.0,177333.0,168175.0,162511.0,400.0,417.0,427.0,443.0,445.0,453.0,476.0
20331.0,20,331,Oaxaca                                            ,San Pedro Tidaa                                   ,DAC,1396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20332.0,20,332,Oaxaca                                            ,San Pedro Topiltepec                              ,1,41640.0,46398.0,40212.0,47407.0,85512.0,83930.0,76398.0,146.0,147.0,149.0,243.0,242.0,250.0,251.0
20332.0,20,332,Oaxaca                                            ,San Pedro Topiltepec                              ,DAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20333.0,20,333,Oaxaca                                            ,San Pedro Totolapam                               ,1,803483.0,816079.0,890078.0,1052068.0,1141981.0,1185950.0,1177802.0,866.0,902.0,940.0,1125.0,1175.0,1352.0,1257.0
20333.0,20,333,Oaxaca                                            ,San Pedro Totolapam                               ,DAC,10901.0,17107.0,27762.0,45731.0,28076.0,40188.0,46362.0,2.0,3.0,3.0,5.0,5.0,7.0,7.0
20334.0,20,334,Oaxaca                                            ,Villa de Tututepec de Melchor Ocampo              ,1B,14765389.0,15304664.0,15545617.0,16145156.0,16793191.0,17464902.0,18149566.0,12128.0,12567.0,12927.0,13491.0,13820.0,14159.0,15135.0
20334.0,20,334,Oaxaca                                            ,Villa de Tututepec de Melchor Ocampo              ,DAC,174592.0,197265.0,251677.0,188517.0,144065.0,328216.0,224911.0,24.0,29.0,25.0,24.0,27.0,28.0,37.0
20335.0,20,335,Oaxaca                                            ,San Pedro Yaneri                                  ,1,130815.0,146431.0,151176.0,160566.0,145960.0,126985.0,111034.0,299.0,313.0,320.0,315.0,319.0,324.0,330.0
20335.0,20,335,Oaxaca                                            ,San Pedro Yaneri                                  ,DAC,2028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20336.0,20,336,Oaxaca                                            ,San Pedro Yolox                                   ,1,484377.0,500862.0,439749.0,383486.0,382479.0,376302.0,377924.0,648.0,651.0,502.0,508.0,515.0,524.0,529.0
20336.0,20,336,Oaxaca                                            ,San Pedro Yolox                                   ,DAC,2037.0,0.0,2098.0,2638.0,0.0,566.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
